Order ID,Order Date,Order Mode,Customer ID,City,Postal Code,Country,Region,Product ID,Product Name,Category,Sub-Category,Sales,Cost Price,Quantity,Discount,List Price,Segment,Correction_Flag
BTC-245712,6/22/2024,Online,LO028977,Norton,S8,England,East Midlands,01JZ3N512GHNAJSF3HCCQ0PQYY,Flavored Popcorn Mix,Food,Gourmet Snacks,2.99,0.897,4,0.24,0.9835526315789475,Snacks,OK
NZR-891212,3/15/2024,In-Store,OH046670,West End,DN36,England,East Midlands,01JZ3N56DDVK7Y600QGH2M6T1X,Olive Oil,Food,Cooking Oils,7.99,2.397,16,0.32,0.7343750000000001,Condiments,Corrected
TDN-811093,2/29/2024,Online,FH015492,Newtown,RG20,England,South East,01JZ3N53A64TW72TVK28SMMXKX,Children's Backpack,Accessories,Kids' Bags,29.99,8.997,2,0.09,16.478021978021978,Accessories,Corrected
MIX-746378,10/25/2024,In-Store,ZZ015342,East End,BH21,England,North West,01JZ3N572S4RVA29Y33YRWH174,Honey Butter Popcorn,Food,Gourmet Snacks,2.99,0.897,4,0.01,0.7550505050505051,Snacks,OK
UGI-201465,8/18/2024,Online,TV075977,Seaton,LE15,England,East Midlands,01JZ3N52RT7CJNB27BFS6H8BF7,Sliced Cucumbers,Food,Fresh Cut Vegetables,1.29,0.387,11,0.34,0.17768595041322316,Produce,OK
YVL-326274,12/19/2024,In-Store,HL006234,Craigavon,BT66,Northern Ireland,Northern Ireland,01JZ3N52MN6K6ZBMB2S60Y6661,Roasted Garlic Pasta Sauce,Food,Pasta Sauces,4.99,1.497,2,0.36,3.8984375,Sauces,Corrected
NAD-339602,2/18/2024,Online,AA070185,Norton,S8,England,East Midlands,01JZ3N53JE4J6GB3N22CPWCHED,Turkey Bacon,Food,Processed Meats,3.99,1.197,11,0.21,0.4591484464902186,Meat,Corrected
YEK-987428,2/7/2024,In-Store,EG051605,London,WC1B,England,London,01JZ3N52GWPC8JADTNSYW3Q2KW,Freestanding Wine Rack,Home,Home Organization,79.99,23.997,11,0.0,11.89082937834632,Home,Corrected
RWT-872441,6/18/2024,Online,UF034417,Kinloch,PH43,Scotland,Scotland,01JZ3N50NQCRTY15T5KFHYD594,Berries Medley,Food,Fresh Fruits,6.99,2.097,11,0.24,0.8361244019138757,Produce,Corrected
CPI-519592,1/23/2024,In-Store,CG060898,Halton,LS9,England,Yorkshire & the Humber,01JZ3N51V0YYJTCZB369CA5D23,Artisan Cornbread Mix,Food,Mixes,2.49,0.747,2,0.08,1.3532608695652175,Baking,Corrected
VYN-298760,9/18/2024,Online,EE025228,Manchester,M14,England,North West,01JZ3N5652QADWPPWJ0PWG860E,Thai Peanut Dressing,Food,Dressing,3.29,0.987,3,0.17,1.3212851405622492,Condiments,Corrected
TTI-504490,4/27/2024,In-Store,CX034161,Thorpe,BD23,England,Yorkshire & the Humber,01JZ3N52VR1TCRNXP4VRZN956S,Coconut Lime Rice,Food,Grains,2.99,0.897,20,0.03,0.15412371134020622,Sides,Corrected
MQD-548505,11/4/2024,Online,LT073005,London,W1F,England,London,01JZ3N51PJSSC4680WPA4VCNFH,Lemon Herb Quinoa,Food,Flavored Quinoa,3.49,1.047,13,0.11,0.3016421780466724,Grains,Corrected
INQ-887163,8/28/2024,In-Store,YL006843,Bradford,BD7,England,Yorkshire & the Humber,01JZ3N5386GF97V9DCN4FSQ05Z,Almond Flour Pizza Crust,Food,Frozen Pizza Crusts,7.99,2.397,17,0.14,0.5465116279069768,Frozen Foods,Corrected
EPC-931737,12/23/2024,Online,YL065975,Kingston,DT10,England,South West,01JZ3N51GB6BDR542KWQH4HB6P,Breathable Face Mask Set,Health,Safety & Protection,14.99,4.497,9,0.15,1.9594771241830067,Health,Corrected
ZNW-604184,4/8/2024,In-Store,YC083120,Preston,PR1,England,North West,01JZ3N513CABNBV3QR2YVXZ1SQ,Nutty Trail Mix,Food,Healthy Snacks,4.29,1.287,15,0.24,0.3763157894736842,Snacks,Corrected
MYO-440340,5/20/2024,Online,BT046086,Eaton,DN22,England,East Midlands,01JZ3N50R3QEBK1XYP3FC0AMBH,Window A/C Unit,Home Appliances,Cooling Appliances,299.99,89.997,8,0.02,38.2640306122449,Home Appliances,Corrected
DSG-803574,4/21/2024,In-Store,WL011058,Brampton,NR34,England,East of England,01JZ3N5665EYQ6DZHK953CTJD3,Frozen Berry Medley,Food,Frozen Fruits,5.49,1.647,14,0.0,0.4157407407407408,Frozen Foods,OK
JYO-617315,11/21/2024,Online,XT003630,Wootton,NN4,England,East Midlands,01JZ3N51E8MR51C41QCMABZRME,Mini Meatballs,Food,Frozen Appetizers,5.99,1.797,8,0.05,0.7881578947368422,Frozen Meals,Corrected
NMH-342339,6/8/2024,In-Store,ON076441,Ford,GL54,England,South West,01JZ3N5127MA9SZ1Q03R14VSK5,Savory Quinoa Pudding,Food,Grains,2.99,0.897,7,0.23,0.5547309833024119,Sides,Corrected
HIC-342702,4/16/2024,Online,TI096309,Birmingham,B40,England,West Midlands,01JZ3N55NK7Z3Q1DJRSNBS8K8A,Bamboo Toothbrush,Health,Oral Care & Hygiene,5.99,1.797,10,0.09,0.6582417582417583,Health,Corrected
IHX-141690,10/14/2024,In-Store,AM053527,Liverpool,L74,England,North West,01JZ3N52G9KWBBS5W8K65XVX37,Stuffed Grape Leaves,Food,International Cuisine,5.79,1.737,17,0.0,0.8368023404648584,Prepared Foods,Corrected
ZFY-381798,7/28/2024,Online,GA094839,Aston,TF6,England,West Midlands,01JZ3N5697E2JNFMRZ7HR95BTQ,Hummus,Food,Dips and Spreads,4.29,1.287,6,0.33,1.0671641791044777,Snacks,Corrected
DTA-257023,6/24/2024,In-Store,CA010518,Buckland,CT16,England,South East,01JZ3N55GPDCTQ0M16H985G9CF,Cinnamon Raisin Bread,Food,Breads,3.79,1.137,9,0.33,0.6285240464344942,Bakery,OK
